        Time / s                E-Field (0 0 2)_1(X) [1]/real
          4.6178944e-009                      0.36632351
          4.6195682e-009                      0.26130079
          4.6212419e-009                      0.13990128
          4.6229157e-009                    0.0048827887
          4.6245895e-009                     -0.14075641
          4.6262632e-009                     -0.29378308
           4.627937e-009                     -0.45072355
          4.6296107e-009                     -0.60787203
          4.6312845e-009                     -0.76132057
          4.6329582e-009                     -0.90701251
           4.634632e-009                      -1.0408315
          4.6363058e-009                       -1.158738
          4.6379795e-009                      -1.2569428
          4.6396533e-009                      -1.3320832
           4.641327e-009                      -1.3813754
          4.6430008e-009                      -1.4027357
          4.6446745e-009                      -1.3948761
          4.6463483e-009                      -1.3573722
          4.6480221e-009                      -1.2906983
          4.6496958e-009                      -1.1962331
          4.6513696e-009                      -1.0762406
          4.6530433e-009                     -0.93383453
          4.6547171e-009                     -0.77292257
          4.6563908e-009                     -0.59812723
          4.6580646e-009                     -0.41467139
          4.6597383e-009                     -0.22821825
          4.6614121e-009                    -0.044661633
          4.6630859e-009                      0.13012106
          4.6647596e-009                      0.29053233
          4.6664334e-009                       0.4315182
          4.6681071e-009                      0.54881453
          4.6697809e-009                      0.63915243
          4.6714546e-009                      0.70039663
          4.6731284e-009                      0.73160758
          4.6748022e-009                      0.73303201
          4.6764759e-009                      0.70603181
          4.6781497e-009                      0.65295661
          4.6798234e-009                      0.57696974
          4.6814972e-009                      0.48185478
          4.6831709e-009                      0.37182603
          4.6848447e-009                      0.25135096
          4.6865185e-009                      0.12497787
          4.6881922e-009                   -0.0028276413
           4.689866e-009                     -0.12782551
          4.6915397e-009                     -0.24611243
          4.6932135e-009                     -0.35420517
          4.6948872e-009                     -0.44910534
           4.696561e-009                     -0.52834713
          4.6982348e-009                     -0.59002845
          4.6999085e-009                     -0.63282749
          4.7015823e-009                     -0.65600995
           4.703256e-009                     -0.65942961
          4.7049298e-009                     -0.64352431
          4.7066035e-009                     -0.60930792
          4.7082773e-009                     -0.55835531
           4.709951e-009                      -0.4927693
          4.7116248e-009                     -0.41511422
